Date,Category,Amount,Day of the Week,Description
2022-03-02 10:11:00,food,50.0,Unknown,Unknown
2022-03-02 10:11:00,other,300.0,Unknown,Unknown
2022-03-01 19:50:00,food,78.0,Unknown,Unknown
2022-03-01 18:56:00,transportation,30.0,Unknown,Unknown
2022-03-01 18:22:00,food,67.0,Unknown,Unknown
2022-03-01 18:22:00,other,100.0,Unknown,Unknown
2022-03-01 18:21:00,other,500.0,Unknown,Unknown
2022-02-28 11:56:00,food,339.15,Unknown,Unknown
2022-02-28 11:45:00,other,200.0,Unknown,Unknown
2022-02-27 15:29:00,food,243.0,Unknown,Unknown
2022-02-26 20:16:00,food,25.0,Unknown,Unknown
2022-02-26 17:37:00,other,1500.0,Unknown,Unknown
2022-02-26 17:37:00,other,100.0,Unknown,Unknown
2022-02-26 16:01:00,social life,1700.0,Unknown,Unknown
2022-02-26 14:07:00,food,40.0,Unknown,Unknown
2022-02-26 01:39:00,food,84.0,Unknown,Unknown
2022-02-25 12:08:00,food,33.0,Unknown,Unknown
2022-02-24 22:32:00,household,303.0,Unknown,Unknown
2022-02-24 22:21:00,food,289.0,Unknown,Unknown
2022-02-24 19:15:00,food,324.7,Unknown,Unknown
2022-02-23 17:35:00,apparel,399.0,Unknown,Unknown
2022-02-23 16:06:00,food,83.0,Unknown,Unknown
2022-02-23 12:38:00,apparel,399.0,Unknown,Unknown
2022-02-22 06:33:00,transportation,120.0,Unknown,Unknown
2022-02-21 22:15:00,transportation,1300.0,Unknown,Unknown
2022-02-21 16:06:00,transportation,138.0,Unknown,Unknown
2022-02-21 15:40:00,household,336.0,Unknown,Unknown
2022-02-21 15:38:00,transportation,201.8,Unknown,Unknown
2022-02-20 15:24:00,food,200.0,Unknown,Unknown
2022-02-19 23:03:00,food,111.0,Unknown,Unknown
2022-02-19 21:57:00,food,250.0,Unknown,Unknown
2022-02-19 21:35:00,transportation,1575.0,Unknown,Unknown
2022-02-19 20:45:00,transportation,200.0,Unknown,Unknown
2022-02-19 20:45:00,food,380.0,Unknown,Unknown
2022-02-19 08:26:00,transportation,60.0,Unknown,Unknown
2022-02-19 06:27:00,other,50.0,Unknown,Unknown
2022-02-19 06:18:00,transportation,270.0,Unknown,Unknown
2022-02-18 23:01:00,food,348.0,Unknown,Unknown
2022-02-17 13:11:00,food,80.0,Unknown,Unknown
2022-02-16 16:57:00,food,165.0,Unknown,Unknown
2022-02-16 16:57:00,food,475.0,Unknown,Unknown
2022-02-13 21:54:00,social life,100.0,Unknown,Unknown
2022-02-12 21:20:00,food,491.0,Unknown,Unknown
2022-02-12 16:04:00,household,70.0,Unknown,Unknown
2022-02-12 14:48:00,food,80.0,Unknown,Unknown
2022-02-12 14:47:00,other,10000.0,Unknown,Unknown
2022-02-11 22:41:00,food,373.0,Unknown,Unknown
2022-02-10 20:15:00,food,641.0,Unknown,Unknown
2022-02-08 10:37:00,other,1000.0,Unknown,Unknown
2022-02-08 09:18:00,household,2099.0,Unknown,Unknown
2022-02-07 07:08:00,transportation,214.0,Unknown,Unknown
